"Time","artiq.mean"
1740614400000,
1740636000000,
1740657600000,16.677227995926
1740679200000,
1740700800000,
1740722400000,
1740744000000,
1740765600000,
1740787200000,
1740808800000,
1740830400000,
1740852000000,
1740873600000,
1740895200000,
1740916800000,
1740938400000,
1740960000000,
1740981600000,
1741003200000,
1741024800000,
1741046400000,
1741068000000,
1741089600000,
1741111200000,
1741132800000,
1741154400000,
1741176000000,
1741197600000,
1741219200000,
1741240800000,
1741262400000,
1741284000000,
1741305600000,
1741327200000,
1741348800000,
1741370400000,
1741392000000,
1741413600000,
1741435200000,
1741456800000,
1741478400000,
1741500000000,
1741521600000,
1741543200000,
1741564800000,
1741586400000,
1741608000000,
1741629600000,
1741651200000,
1741672800000,
1741694400000,
1741716000000,
1741737600000,
1741759200000,
1741780800000,
1741802400000,
1741824000000,
1741845600000,
1741867200000,
1741888800000,
1741910400000,
1741932000000,
1741953600000,
1741975200000,
1741996800000,
1742018400000,
1742040000000,
1742061600000,
1742083200000,
1742104800000,
1742126400000,
1742148000000,
1742169600000,
1742191200000,
1742212800000,
1742234400000,
1742256000000,
1742277600000,
1742299200000,166.569227
1742320800000,16.569227
1742342400000,
1742364000000,
1742385600000,16.532032552498492
1742407200000,16.53007322081021
1742428800000,
1742450400000,
1742472000000,16.523835812520776
1742493600000,
1742515200000,
1742536800000,
1742558400000,16.517322083044615
1742580000000,16.51505503523199
1742601600000,
1742623200000,
1742644800000,
1742666400000,
1742688000000,
1742709600000,
1742731200000,
1742752800000,
1742774400000,
1742796000000,
1742817600000,
1742839200000,
1742860800000,
1742882400000,
1742904000000,
1742925600000,
1742947200000,
1742968800000,
1742990400000,
1743012000000,
1743033600000,
1743055200000,
1743076800000,
1743098400000,
1743120000000,
1743141600000,
1743163200000,
1743184800000,
1743206400000,
1743228000000,
1743249600000,
1743271200000,
1743292800000,
1743314400000,
1743336000000,
1743357600000,
1743379200000,
1743400800000,16.473800262222223
1743422400000,16.44528117629153
1743444000000,16.44531213
1743465600000,
1743487200000,
1743508800000,16.439055610658702
1743530400000,
1743552000000,
1743573600000,16.43190030724703
1743595200000,16.43043677648573
1743616800000,
1743638400000,
1743660000000,16.426813507434108
1743681600000,16.42430777701765
1743703200000,
1743724800000,
1743746400000,
1743768000000,16.41690051228788
1743789600000,16.416691358258987
1743811200000,
1743832800000,
1743854400000,16.410514235872128
1743876000000,
1743897600000,
1743919200000,
1743940800000,
1743962400000,
1743984000000,
1744005600000,16.39716190638887
1744027200000,
