"Time","artiq.mean"
1746901620000,
1746901650000,
1746901680000,
1746901710000,
1746901740000,
1746901770000,
1746901800000,
1746901830000,
1746901860000,
1746901890000,
1746901920000,
1746901950000,
1746901980000,
1746902010000,
1746902040000,
1746902070000,
1746902100000,
1746902130000,
1746902160000,
1746902190000,
1746902220000,
1746902250000,
1746902280000,
1746902310000,
1746902340000,
1746902370000,
1746902400000,
1746902430000,
1746902460000,
1746902490000,
1746902520000,
1746902550000,
1746902580000,
1746902610000,
1746902640000,
1746902670000,
1746902700000,
1746902730000,
1746902760000,
1746902790000,4.1249844900066295
1746902820000,4.1252305189941305
1746902850000,4.126357246280631
1746902880000,4.126091786741003
1746902910000,4.126695017082823
1746902940000,4.1261743536886
1746902970000,4.125717045558351
1746903000000,4.125632645739538
1746903030000,4.125458096940982
1746903060000,4.126197806660557
1746903090000,4.126654664144382
1746903120000,4.126461228874491
1746903150000,4.126404520432709
1746903180000,4.126433330512022
1746903210000,4.125862107066445
1746903240000,4.125040725168544
1746903270000,4.125436210289362
1746903300000,4.125567539419143
1746903330000,4.126410667616598
1746903360000,4.126994749758517
1746903390000,4.125852657343004
1746903420000,4.1260225468912815
1746903450000,4.1258373388882
1746903480000,4.125847762228946
1746903510000,4.125471345688586
1746903540000,4.1263502875701565
1746903570000,4.127432751186506
1746903600000,4.126998553949311
1746903630000,4.126423502818604
1746903660000,4.126704720353809
1746903690000,4.125536353595557
1746903720000,4.125669770286274
1746903750000,4.125674043302765
1746903780000,4.1261231792034545
1746903810000,4.126565206564549
1746903840000,4.125913261011528
1746903870000,4.1264338787429
1746903900000,4.126625651725425
1746903930000,4.127239679605226
1746903960000,4.125751566613489
1746903990000,4.126048034868348
1746904020000,4.126687189274947
1746904050000,4.125915682055975
1746904080000,4.126275361822764
1746904110000,4.126252562674548
1746904140000,4.126099643870917
1746904170000,4.126783115142507
1746904200000,4.127013721654148
1746904230000,4.127510622347519
1746904260000,4.126423839526718
1746904290000,4.127002388708635
1746904320000,4.126385354084412
1746904350000,4.125990373834305
1746904380000,4.126447761174986
1746904410000,4.127000363510459
1746904440000,4.127201259979681
1746904470000,4.126307328451887
1746904500000,4.125609242786235
1746904530000,4.125949287413564
1746904560000,4.126888222303791
1746904590000,4.1267637262569385
1746904620000,4.126601902261945
1746904650000,4.126590680324943
1746904680000,4.127020894466039
1746904710000,4.126498531333363
1746904740000,4.126087257547458
1746904770000,4.126229208821086
1746904800000,4.125803525310799
1746904830000,4.125902483753001
1746904860000,4.126004438993421
1746904890000,4.126215690650544
1746904920000,4.127238032751358
1746904950000,4.128223998471538
1746904980000,4.127281326580436
1746905010000,4.125579879581356
1746905040000,4.125292905174216
1746905070000,4.125718877595872
1746905100000,4.125384853570413
1746905130000,4.126669314247602
1746905160000,4.126601598016217
1746905190000,4.126775355914414
1746905220000,4.12586657344548
1746905250000,4.125357781302835
1746905280000,4.125648338980784
1746905310000,4.125859631458574
1746905340000,4.12623247812966
1746905370000,4.126577976086429
1746905400000,4.126147049962502
1746905430000,4.126494860374515
1746905460000,4.126649166889458
1746905490000,4.126465818905935
1746905520000,4.126247018742559
1746905550000,4.126033802294285
1746905580000,4.126078024735436
1746905610000,4.12566321634421
1746905640000,4.125236587686808
1746905670000,4.125837415532689
1746905700000,4.125813560456458
1746905730000,4.125496654873282
1746905760000,4.125277863155047
1746905790000,4.125311371774596
1746905820000,4.1267197570368515
1746905850000,4.12579400733123
1746905880000,4.125653670984422
1746905910000,4.126178768847541
1746905940000,4.12608929536108
1746905970000,4.126532229196681
1746906000000,4.126430564491801
1746906030000,4.126205859577348
1746906060000,4.1257635555756345
1746906090000,4.125991397004088
1746906120000,4.125150351690226
1746906150000,4.125023688232202
1746906180000,4.125616456275555
1746906210000,4.125726879780502
1746906240000,4.124632470203345
1746906270000,4.125755680919812
1746906300000,4.125982880838177
1746906330000,4.125637165132142
1746906360000,4.125866931192915
1746906390000,4.1251370371153175
1746906420000,4.124495918990519
1746906450000,4.1242568713422365
1746906480000,4.124916171052791
1746906510000,4.1259147501044895
1746906540000,4.126295403942673
1746906570000,4.125776752158745
1746906600000,4.124945237080716
1746906630000,4.124258865807348
1746906660000,4.124476713571606
1746906690000,4.1253133489820355
1746906720000,4.125211505126519
1746906750000,4.125504514912185
1746906780000,4.126307697915085
1746906810000,4.12646967905398
1746906840000,4.126083835574791
1746906870000,4.125511429945319
1746906900000,4.125520488711635
1746906930000,4.125891520469389
1746906960000,4.125371439293012
1746906990000,4.125214356308556
1746907020000,4.126181209753751
1746907050000,4.12520814401053
1746907080000,4.125856971309113
1746907110000,4.125832446811096
1746907140000,4.125779759520763
1746907170000,4.125850758853199
1746907200000,4.126006544571907
1746907230000,4.124573104382253
1746907260000,4.125123246798342
1746907290000,4.124449404271085
1746907320000,4.125385205687151
1746907350000,4.124767462441081
1746907380000,4.124680567057918
1746907410000,4.1259227311594255
1746907440000,4.125619323056915
1746907470000,4.125412487494904
1746907500000,4.125612798559616
1746907530000,4.126455673215113
1746907560000,4.125777163411843
1746907590000,4.126002634604946
1746907620000,4.124812933157592
1746907650000,4.124349832225684
1746907680000,4.124251649303769
1746907710000,4.123875123274638
1746907740000,4.12446003384582
1746907770000,4.124931940880109
1746907800000,4.124623580744541
1746907830000,4.125067621724331
1746907860000,4.124829817952049
1746907890000,4.1247579205572675
1746907920000,4.124208337120081
1746907950000,4.124079990754919
1746907980000,4.124451399342962
1746908010000,4.124461069073067
1746908040000,4.12497035412767
1746908070000,4.1255713007434345
1746908100000,4.125110036316577
1746908130000,4.124809227027537
1746908160000,4.125562781576533
1746908190000,4.126105703394154
1746908220000,4.125790537502421
1746908250000,4.126155495244457
1746908280000,4.1264875622729935
1746908310000,4.126354911088446
1746908340000,4.126162586448429
1746908370000,4.125921895368458
1746908400000,4.124735333511213
1746908430000,4.124300573860432
1746908460000,4.124404060413273
1746908490000,4.124003761401064
1746908520000,4.124565302935287
1746908550000,4.1260507710900205
1746908580000,4.126772191195721
1746908610000,4.125151744781578
1746908640000,4.125108607556574
1746908670000,4.12476486866755
1746908700000,4.125687172325551
1746908730000,4.125897727207176
1746908760000,4.125237253683952
1746908790000,4.125498484229574
1746908820000,4.125485166765158
1746908850000,4.126094032679136
1746908880000,4.125859402328851
1746908910000,4.125846508032354
1746908940000,4.126159523209745
1746908970000,4.126647686283425
1746909000000,4.126637569842929
1746909030000,4.127049016752374
1746909060000,4.127013284083823
1746909090000,4.126728664222502
1746909120000,4.126640310904795
1746909150000,4.127038462820669
1746909180000,4.127106827197003
1746909210000,4.12620379034068
1746909240000,4.125744625171122
1746909270000,4.125030369527226
1746909300000,4.125959846001948
1746909330000,4.125891922508137
1746909360000,4.125646061910418
1746909390000,4.125824981118097
1746909420000,4.1251444572151055
1746909450000,4.124596032722081
1746909480000,4.125430380835518
1746909510000,4.124656063107655
1746909540000,4.124331440858856
1746909570000,4.124794188570626
1746909600000,4.125454994201992
1746909630000,4.126629326535566
1746909660000,4.125113289836969
1746909690000,4.124525492956088
1746909720000,4.123914158559287
1746909750000,4.124641970386771
1746909780000,4.124162604302186
1746909810000,4.124603869143335
1746909840000,4.124748205541538
1746909870000,4.125758781532533
1746909900000,4.126139158689306
1746909930000,4.1266969792280905
1746909960000,4.125717541087297
1746909990000,4.126373391651175
1746910020000,4.125916686328879
1746910050000,4.125379407408557
1746910080000,4.125425643832801
1746910110000,4.125752245979445
1746910140000,4.126437292921709
1746910170000,4.125779751293734
1746910200000,4.1257195326355625
1746910230000,4.126423374940924
1746910260000,4.126012271943713
1746910290000,4.126517507337451
1746910320000,4.1271992698729205
1746910350000,4.127053270858361
1746910380000,4.127347340509192
1746910410000,4.127267302077833
1746910440000,4.127284913300906
1746910470000,4.127540387504369
1746910500000,4.126603449366066
1746910530000,4.126759608540342
1746910560000,4.127113232663918
1746910590000,4.127455336159838
1746910620000,4.12681679753713
1746910650000,4.1268073927543485
1746910680000,4.126830637065231
1746910710000,4.127030350889041
1746910740000,4.126471028982857
1746910770000,4.1262810817059306
1746910800000,4.127883990254699
1746910830000,4.12722063367443
1746910860000,4.127883302966006
1746910890000,4.1267849255071285
1746910920000,4.126050179407232
1746910950000,4.126086473541161
1746910980000,4.125904744864972
1746911010000,4.126485654378043
1746911040000,4.125883291964416
1746911070000,4.125394300540629
1746911100000,4.126377572592343
1746911130000,4.127381252330131
1746911160000,4.126972223629648
1746911190000,4.126875053423212
1746911220000,4.127396524637678
1746911250000,4.1267886399991385
1746911280000,4.12685955999775
1746911310000,4.127045145173739
1746911340000,4.1277276353833505
1746911370000,4.1268791959782805
1746911400000,4.126907412925149
1746911430000,4.126700927893371
1746911460000,4.1266633774048875
1746911490000,4.126138216624057
1746911520000,4.126302296009484
1746911550000,4.126592136203737
1746911580000,4.126803695227396
1746911610000,4.126581803885375
1746911640000,4.125893914186184
1746911670000,4.1263403248964075
1746911700000,4.127447236140709
1746911730000,4.127972376009836
1746911760000,4.1269793469369125
1746911790000,4.1258940916869955
1746911820000,4.126470625306208
1746911850000,4.12697070682801
1746911880000,4.127354634887807
1746911910000,4.127068622963249
1746911940000,4.126216257129068
1746911970000,4.127741252462208
1746912000000,4.127914183599252
1746912030000,4.127579217056542
1746912060000,4.127182318367398
