Type,FSWP-8
Version,3.01
Date,18.May 2026
VSupply,OFF
Mode,Voltage
2,3,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,3,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,3,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,3,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,3,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,3,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,4,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,4,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,4,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,4,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,4,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,4,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,5,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
