Type,FSWP-8
Version,3.01
Date,19.May 2026
VSupply,OFF
Mode,Voltage
2,1,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,1,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,1,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,2,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,2,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,2,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,2,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,2,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,2,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,3,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,3,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,3,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,3,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,3,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,3,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,4,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,4,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,4,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,4,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,4,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,4,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,5,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,5,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,5,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,5,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,5,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,5,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,6,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,6,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,6,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,6,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,6,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,6,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,7,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,7,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,7,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,7,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,7,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,7,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,8,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,8,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,8,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,8,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,8,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,8,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,9,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,9,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,9,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,9,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,9,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,9,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,10,1,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,10,2,1.0000000000,Hz,100000000.0000000000,Hz,,-56.930217742919921875,dBc,0.11537897586822509766,degree,15726.9609375,Hz,9.2522274564021955712e-12,s
2,10,3,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,10,4,1.0000000000,Hz,100000000.0000000000,Hz,,-67.99791717529296875,dBc,0,degree,0.056314352899789810181,Hz,0,s
2,10,5,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
2,10,6,1.0000000000,Hz,100000000.0000000000,Hz,,-56.912166595458984375,dBc,0,degree,0,Hz,0,s
Window,2,Noise Spectrum
Trace,1
Trace Mode,CLR/WRITE
Trace Result,PN
Smoothing,ON
Smoothing Value,1.0000000000,%
Spurious Removal,OFF
Spurious Removal Threshold,6.0000000000,dB
Trace Offset,OFF
Trace Offset,0.0000000000,dB
Trace Label,OFF
Trace Label,Trace 1
x-Unit,Hz
y-Unit,dBc/Hz
Values,8001
1.0000000000,-71.5226287842
1.0023052692,-71.5226287842
1.0046157837,-71.5226287842
1.0069316626,-71.5226287842
1.0092529058,-71.5226287842
1.0115795135,-71.5226287842
1.0139113665,-71.5226287842
1.0162487030,-71.5226287842
1.0185914040,-71.5226287842
1.0209394693,-71.5226287842
1.0232930183,-71.5226287842
1.0256519318,-71.4220581055
1.0280163288,-71.3837890625
1.0303860903,-71.3214874268
1.0327614546,-71.2791442871
1.0351421833,-71.2791442871
1.0375283957,-71.2791442871
1.0399202108,-71.2791442871
1.0423173904,-71.2791442871
1.0447201729,-71.2791442871
1.0471285582,-71.2791442871
1.0495424271,-71.3837890625
1.0519618988,-71.3917541504
1.0543868542,-71.5436553955
1.0568175316,-71.5607299805
1.0592536926,-71.5964584351
1.0616955757,-71.7516708374
1.0641430616,-71.8054504395
1.0665961504,-72.0384979248
1.0690548420,-72.0501785278
1.0715192556,-72.0545806885
1.0739893913,-72.2949066162
1.0764652491,-72.3253173828
1.0789467096,-72.5127410889
1.0814340115,-72.5801467896
1.0839269161,-72.6121368408
1.0864256620,-72.9416961670
1.0889301300,-72.9501495361
1.0914403200,-72.9708709717
1.0939563513,-73.3032608032
1.0964782238,-73.3507614136
1.0990058184,-73.4290008545
1.1015392542,-73.6648025513
1.1040786505,-73.7513732910
1.1066237688,-73.9655151367
1.1091748476,-74.0454406738
1.1117317677,-74.1520004272
1.1142945290,-74.5068740845
1.1168632507,-74.5508193970
1.1194379330,-74.5706481934
1.1220184565,-74.9682998657
1.1246049404,-75.0059585571
1.1271975040,-75.1361465454
1.1297959089,-75.4297485352
1.1324003935,-75.4412841797
1.1350108385,-75.7214889526
1.1376272440,-75.8765945435
1.1402497292,-75.8911895752
1.1428782940,-76.2235336304
1.1455129385,-76.3040161133
1.1481536627,-76.3962249756
1.1508003473,-76.5173110962
1.1534532309,-76.8110885620
1.1561121941,-76.8110885620
1.1587773561,-76.8110885620
1.1614485979,-76.8110885620
1.1641260386,-76.8110885620
1.1668096781,-76.8110885620
1.1694993973,-76.8110885620
1.1721953154,-76.8110885620
1.1748975515,-76.8110885620
1.1776059866,-76.8110885620
1.1803206205,-76.8110885620
1.1830415726,-76.8110885620
1.1857687235,-76.8110885620
1.1885021925,-76.8110885620
1.1912419796,-76.8110885620
1.1939880848,-76.8110885620
1.1967405081,-76.8703765869
1.1994993687,-76.8703765869
1.2022644281,-76.8703765869
1.2050359249,-76.8703765869
1.2078138590,-76.8703765869
1.2105981112,-76.8703765869
1.2133888006,-76.8703765869
1.2161860466,-76.8703765869
1.2189896107,-76.8703765869
1.2217996120,-76.8703765869
1.2246161699,-76.8703765869
1.2274392843,-76.8703765869
1.2302688360,-76.8703765869
1.2331048250,-76.8703765869
1.2359474897,-76.8703765869
1.2387965918,-76.8703765869
1.2416522503,-76.8703765869
1.2445145845,-76.8703765869
1.2473834753,-76.8703765869
1.2502590418,-76.8703765869
1.2531411648,-76.8703765869
1.2560299635,-76.8703765869
1.2589254379,-76.8703765869
1.2618275881,-76.8703765869
1.2647362947,-76.8703765869
1.2676519156,-76.8703765869
1.2705740929,-76.8703765869
1.2735030651,-76.8703765869
1.2764388323,-76.8703765869
1.2793812752,-76.8703765869
1.2823306322,-76.8703765869
1.2852866650,-76.8703765869
1.2882494926,-76.8703765869
1.2912192345,-76.8703765869
1.2941958904,-76.8703765869
1.2971792221,-76.8703765869
1.3001695871,-76.8703765869
1.3031667471,-76.8703765869
1.3061708212,-76.8703765869
1.3091819286,-76.8703765869
1.3121999502,-76.8703765869
1.3152248859,-76.8503417969
1.3182567358,-76.5833435059
1.3212956190,-76.3163375854
1.3243415356,-76.0493392944
1.3273944855,-75.7095642090
1.3304544687,-75.3645248413
1.3335214853,-75.0194778442
1.3365955353,-74.6684722900
1.3396767378,-74.3107681274
1.3427649736,-73.9530792236
1.3458603621,-73.5981597900
1.3489629030,-73.3122177124
1.3520725965,-73.0262756348
1.3551894426,-72.7403335571
1.3583134413,-72.5298843384
1.3614447117,-72.3633041382
1.3645831347,-72.1967239380
1.3677288294,-72.0581436157
1.3708817959,-72.0023574829
1.3740419149,-71.9465713501
1.3772094250,-71.8907852173
1.3803843260,-71.8715972900
1.3835663795,-71.8565216064
1.3867558241,-71.8414459229
1.3899526596,-71.7932510376
1.3931567669,-71.7201843262
1.3963683844,-71.6471176147
1.3995872736,-71.5503082275
1.4028136730,-71.3887710571
1.4060475826,-71.2272415161
1.4092887640,-71.0657196045
1.4125375748,-70.8875122070
1.4157937765,-70.7091674805
1.4190574884,-70.5308227539
1.4223288298,-70.5261688232
1.4256075621,-70.5261688232
1.4288939238,-70.5261688232
1.4321879148,-70.5261688232
1.4354894161,-70.5261688232
1.4387985468,-70.5261688232
1.4421153069,-70.5261688232
1.4454398155,-70.5261688232
1.4487718344,-70.5261688232
1.4521116018,-70.5261688232
1.4554591179,-70.5261688232
1.4588142633,-70.5261688232
1.4621771574,-70.5261688232
1.4655478001,-70.5261688232
1.4689263105,-70.5261688232
1.4723124504,-70.5261688232
1.4757065773,-70.5261688232
1.4791084528,-70.5261688232
1.4825180769,-70.5261688232
1.4859356880,-70.5261688232
1.4893610477,-70.5261688232
1.4927943945,-70.5261688232
1.4962356091,-70.5261688232
1.4996848106,-70.5261688232
1.5031419992,-70.5261688232
1.5066070557,-70.5261688232
1.5100802183,-70.5261688232
1.5135612488,-70.5261688232
1.5170503855,-70.5261688232
1.5205475092,-70.5261688232
1.5240527391,-70.5261688232
1.5275660753,-70.5261688232
1.5310875177,-70.5261688232
1.5346169472,-70.5261688232
1.5381547213,-70.5261688232
1.5417004824,-70.5261688232
1.5452544689,-70.5261688232
1.5488165617,-70.5261688232
1.5523869991,-70.5261688232
1.5559656620,-70.5261688232
1.5595525503,-70.5261688232
1.5631476641,-70.6155624390
1.5667510033,-71.1366271973
1.5703628063,-71.7245025635
1.5739828348,-72.3605880737
1.5776112080,-72.9966659546
1.5812480450,-73.5765075684
1.5848932266,-73.7873077393
1.5885467529,-73.8271331787
1.5922087431,-73.8284454346
1.5958790779,-73.8669586182
1.5995579958,-73.9122467041
1.6032453775,-73.9643936157
1.6069412231,-73.9960556030
1.6106456518,-74.0898666382
1.6143585443,-74.1268692017
1.6180800200,-74.1619033813
1.6218100786,-74.1853561401
1.6255487204,-74.1853561401
1.6292960644,-74.1853561401
1.6330519915,-74.1853561401
1.6368165016,-74.1853561401
1.6405898333,-74.1853561401
1.6443717480,-74.1853561401
1.6481623650,-74.1853561401
1.6519618034,-74.1853561401
1.6557699442,-74.1853561401
1.6595869064,-74.1853561401
1.6634126902,-74.1853561401
1.6672471762,-74.1853561401
1.6710906029,-74.1853561401
1.6749428511,-74.1853561401
1.6788040400,-74.1853561401
1.6826740503,-74.1853561401
1.6865530014,-74.1853561401
1.6904408932,-74.1853561401
1.6943378448,-74.1853561401
1.6982436180,-74.1853561401
1.7021585703,-74.1853561401
1.7060823441,-74.1853561401
1.7100152969,-74.1853561401
1.7139573097,-74.1853561401
1.7179083824,-74.1853561401
1.7218686342,-74.1853561401
1.7258379459,-74.2153396606
1.7298164368,-74.3278808594
1.7338039875,-74.3294525146
1.7378008366,-74.3509979248
1.7418068647,-74.3904495239
1.7458221912,-74.3904495239
1.7498466969,-74.3904495239
1.7538805008,-74.3904495239
1.7579236031,-74.3904495239
1.7619761229,-74.3904495239
1.7660378218,-74.3904495239
1.7701089382,-74.3904495239
1.7741894722,-74.3904495239
1.7782794237,-74.3904495239
1.7823786736,-74.3904495239
1.7864875793,-74.3904495239
1.7906057835,-74.3904495239
1.7947336435,-74.3904495239
1.7988709211,-74.3904495239
1.8030177355,-74.3904495239
1.8071740866,-74.3904495239
1.8113400936,-74.3904495239
1.8155156374,-74.3904495239
1.8197008371,-74.3904495239
1.8238956928,-74.3904495239
1.8281002045,-74.3904495239
1.8323144913,-74.3904495239
1.8365383148,-74.3904495239
1.8407719135,-74.3904495239
1.8450154066,-74.3904495239
1.8492685556,-74.3904495239
1.8535315990,-74.3904495239
1.8578044176,-74.3904495239
1.8620871305,-74.3904495239
1.8663797379,-74.3904495239
1.8706822395,-74.4774398804
1.8749945164,-74.5955352783
1.8793168068,-74.5976333618
1.8836491108,-74.6643905640
1.8879913092,-74.6993484497
1.8923436403,-74.7136230469
1.8967058659,-74.7178344727
1.9010783434,-74.9091796875
1.9054607153,-75.1172714233
1.9098532200,-75.2915267944
1.9142559767,-75.4402465820
1.9186687469,-75.5121536255
1.9230917692,-75.5220031738
1.9275249243,-75.5537033081
1.9319683313,-75.5846862793
1.9364219904,-75.5950469971
1.9408857822,-75.6218109131
1.9453600645,-75.6664047241
1.9498445988,-75.6680984497
1.9543395042,-75.7109985352
1.9588446617,-75.7350082397
1.9633603096,-75.7386932373
1.9678863287,-75.7809295654
1.9724227190,-75.8036422729
1.9769695997,-75.8556976318
1.9815269709,-75.8744354248
1.9860949516,-75.9124908447
1.9906733036,-75.9668045044
1.9952623844,-76.0230941772
1.9998618364,-76.0280990601
2.0044720173,-76.0926132202
2.0090928078,-76.1565093994
2.0137240887,-76.1565093994
2.0183663368,-76.1565093994
2.0230190754,-76.1565093994
2.0276827812,-76.1565093994
2.0323569775,-76.1565093994
2.0370419025,-76.1565093994
2.0417380333,-76.1565093994
2.0464446545,-76.1565093994
2.0511622429,-76.1565093994
2.0558905602,-76.1565093994
2.0606298447,-76.1565093994
2.0653800964,-76.1565093994
2.0701413155,-76.1565093994
2.0749135017,-76.1565093994
2.0796966553,-76.1565093994
2.0844910145,-76.1565093994
2.0892961025,-76.1565093994
2.0941123962,-76.1565093994
2.0989398956,-76.1565093994
2.1037786007,-76.1565093994
2.1086282730,-76.1565093994
2.1134889126,-76.1565093994
2.1183612347,-76.1565093994
2.1232445240,-76.0926132202
2.1281390190,-76.0280990601
2.1330449581,-76.0230941772
2.1379621029,-76.0093688965
2.1428906918,-75.9350662231
2.1478304863,-75.9350662231
2.1527817249,-75.9350662231
2.1577444077,-75.9350662231
2.1627185345,-75.9350662231
2.1677041054,-76.0093688965
2.1727013588,-76.0280990601
2.1777098179,-76.0926132202
2.1827299595,-76.2160949707
2.1877615452,-76.2525558472
2.1928048134,-76.3489379883
2.1978600025,-76.3911590576
2.2029263973,-76.3949127197
2.2080047131,-76.3949127197
2.2130947113,-76.3949127197
2.2181963921,-76.3911590576
2.2233099937,-76.2525558472
2.2284350395,-76.2160949707
2.2335722446,-76.0892791748
2.2387211323,-76.0280990601
2.2438819408,-76.0093688965
2.2490546703,-75.9350662231
2.2542390823,-75.9124908447
2.2594358921,-75.8036422729
2.2646441460,-75.7350082397
2.2698647976,-75.6680984497
2.2750973701,-75.5987930298
2.2803421021,-75.5987930298
2.2855987549,-75.5987930298
2.2908678055,-75.5987930298
2.2961485386,-75.7350082397
2.3014416695,-75.9124908447
2.3067471981,-75.9350662231
2.3120646477,-75.9350662231
2.3173947334,-75.9350662231
2.3227367401,-75.9350662231
2.3280913830,-75.8593215942
2.3334581852,-75.5987930298
2.3388371468,-75.5443191528
2.3442287445,-75.4567337036
2.3496327400,-75.2716140747
2.3550493717,-75.2413406372
2.3604781628,-75.1778411865
2.3659198284,-75.0102233887
2.3713736534,-74.9684371948
2.3768401146,-74.8663635254
2.3823194504,-74.8663635254
2.3878111839,-74.8663635254
2.3933157921,-74.8663635254
2.3988327980,-74.8663635254
2.4043629169,-74.8663635254
2.4099054337,-74.8663635254
2.4154608250,-74.8663635254
2.4210290909,-74.8663635254
2.4266099930,-74.8663635254
2.4322040081,-74.8663635254
2.4378108978,-74.8663635254
2.4434306622,-74.8753433228
2.4490633011,-74.9684371948
2.4547088146,-75.0102233887
2.4603676796,-75.2413406372
2.4660391808,-75.2716140747
2.4717242718,-75.3797912598
2.4774219990,-75.4567337036
2.4831330776,-75.4567337036
2.4888572693,-75.4567337036
2.4945948124,-75.4567337036
2.5003454685,-75.4567337036
2.5061092377,-75.4567337036
2.5118863583,-75.4567337036
2.5176768303,-75.4567337036
2.5234808922,-75.5443191528
2.5292980671,-75.5542602539
2.5351285934,-75.8593215942
2.5409727097,-75.9125747681
2.5468301773,-75.9306945801
2.5527012348,-75.9350662231
2.5585858822,-76.0609130859
2.5644841194,-76.0892791748
2.5703957081,-76.2806243896
2.5763211250,-76.3821029663
2.5822601318,-76.3911590576
2.5882127285,-76.4803085327
2.5941793919,-76.4803085327
2.6001594067,-76.4803085327
2.6061534882,-76.4803085327
2.6121613979,-76.4803085327
2.6181831360,-76.4803085327
2.6242184639,-76.4803085327
2.6302678585,-76.4803085327
2.6363313198,-76.4803085327
2.6424086094,-76.4803085327
2.6485002041,-76.4803085327
2.6546056271,-76.4803085327
2.6607251167,-76.4803085327
2.6668586731,-76.4803085327
2.6730062962,-76.5294494629
2.6791684628,-76.5652465820
2.6853444576,-76.7529602051
2.6915347576,-76.9084625244
2.6977393627,-76.9646682739
2.7039585114,-76.9701995850
2.7101917267,-76.9926986694
2.7164392471,-77.0338516235
2.7227013111,-77.0836334229
2.7289776802,-77.0880432129
2.7352688313,-77.0905303955
2.7415740490,-77.0948867798
2.7478942871,-77.1295928955
2.7542285919,-77.1818771362
2.7605779171,-77.1939163208
2.7669415474,-77.2001953125
2.7733199596,-77.2879486084
2.7797133923,-77.3192749023
2.7861211300,-77.4582061768
2.7925438881,-77.6183242798
2.7989811897,-77.6936035156
2.8054337502,-77.7104873657
2.8119008541,-77.7104873657
2.8183827400,-77.7104873657
2.8248801231,-77.7104873657
2.8313920498,-77.7104873657
2.8379189968,-77.7104873657
2.8444609642,-77.7341537476
2.8510184288,-77.8135375977
2.8575904369,-77.8447036743
2.8641779423,-77.8898620605
2.8707807064,-77.8898620605
2.8773982525,-77.8898620605
2.8840315342,-77.8898620605
2.8906798363,-77.8898620605
2.8973436356,-77.8898620605
2.9040226936,-77.8898620605
2.9107170105,-77.8898620605
2.9174270630,-77.8898620605
2.9241523743,-77.8898620605
2.9308931828,-77.8898620605
2.9376497269,-77.8898620605
2.9444217682,-77.8898620605
2.9512093067,-77.8898620605
2.9580123425,-77.8898620605
2.9648313522,-77.9541854858
